ID,Price,Address,zip,status,Subdivision,Year Built,Bedrooms,Bathrooms,Approx SQFT
1,400000,2549 N MITCHELL ST,85006,Closed,FOWLER TRACT LOTS 1-96,1918,3,1,1195
2,790000,5008 E CHARTER OAK RD,85254,Closed,GREENBRIER EAST UNIT 1,1976,4,2,2034
3,379900,6135 W LAWRENCE RD,85301,Closed,ORCHARD ADD BLK 11 LOT 1,1959,4,2,1271
4,435000,7937 W HIGHLAND AVE,85033,Closed,MARYVALE TERRACE,1979,3,2,1390
5,441000,12619 N 42ND DR,85029,Closed,TAMARRON 1,1978,4,2,1468
6,830000,4642 N 40TH ST,85018,Closed,BRIDGEWOOD NORTH 40,1973,3,2,1837
7,382000,1239 E Fremont RD,85042,Closed,Oro Vista,2009,3,2,1377
8,342000,1716 N 77TH GLN,85035,Closed,VINSANTO,2007,2,2.5,1284
9,350000,3034 E DIAMOND ST,85008,Closed,MCDOWELL HOMES BLK 1-4,1950,3,2,1366
10,440000,7753 W BONITOS DR,85035,Closed,VINSANTO,2013,3,3,1934
11,450000,3609 W BROWN ST,85051,Closed,CAVALIER FREEWAY NORTH UNIT 2,1970,4,2,1916
12,543000,2323 W BEVERLY RD,85041,Closed,SILVA MOUNTAIN UNIT 1,2007,4,2,2236
13,320000,2902 W NORTHERN AVE,85051,Closed,ALTA VISTA 2,1953,2,1,822
14,290000,5032 S 35TH DR,85041,Closed,ARRINGTON PL TR A,1952,5,2,1410
15,750000,1708 E MONTEBELLO AVE,85016,Closed,TANGERINE PARK 1 AMD,1950,3,3,2254
16,370000,7233 W COLTER ST,85303,Closed,WEST CAMELBACK VILLAGE 3,1978,2,2,1048
17,800000,5002 E PARADISE DR,85254,Closed,TAMI ESTATES,1973,3,1.75,2009
18,820000,3002 E WELDON AVE,85016,Closed,SANTO TOMAS EAST,1971,3,2,1775
19,385000,3729 W BUTLER DR,85051,Closed,STARDUST SKIES UNIT 4,1964,3,2,1282
20,460000,8346 N 55TH AVE,85302,Closed,DEBORAH HOMES NO. 3,1971,5,3,2155
21,305000,8622 S 7TH PL,85042,Closed,CRESTLEA 2,1964,3,1,1039
22,545000,2738 N GREENFIELD RD,85006,Closed,GREENFIELD GARDENS BLOCKS 6 7,1944,4,2,2102
23,520000,4640 N 11TH PL,85014,Closed,HIXSON HOMES,1947,4,2,1975
24,300000,6918 W COOLIDGE ST,85033,Closed,MARYVALE TERRACE 26 AMD LOTS 10369-10434 & TR A,1960,3,1.5,1391
25,477500,1219 W 10TH PL,85281,Closed,WESTGATE SUB 3,1972,3,2,1408
26,240000,1628 E SUNLAND AVE,85040,Closed,LA CHULA VISTA SUB,1950,3,2,1800
27,475000,7856 W SAN MIGUEL AVE,85303,Closed,MONTEBELLO ESTATES,1999,4,2,1930
28,479100,6529 W PIONEER ST,85043,Closed,ESTRELLA MANOR,2001,3,2.5,2378
29,682500,4502 E JOAN DE ARC AVE,85032,Closed,Roadrunner Estates East,1978,3,2,1768
30,615000,2929 E BLOOMFIELD RD,85032,Closed,TOPAZ PARK,1972,3,2,1973
31,417000,7951 W MONTEROSA ST,85033,Closed,WILLOWS WEST 4,1983,3,2,1530
32,745000,14836 N HANA MAUI DR,85022,Closed,MOON VALLEY 2,1974,4,2.5,3211
33,495000,1706 E ROMA AVE,85016,Closed,MONTECITO TRACT 2,1953,3,1,1395
34,285000,2745 E PORTLAND ST,85008,Closed,DEL REY LOTS 21-58 & LOT 99,1963,3,2,1124
35,348000,3031 W BUTLER DR,85051,Closed,ALTA VISTA 3,1953,3,1.5,1122
36,350000,1643 N 38TH LN,85009,Closed,PALOMAR HOMES 3,1946,4,3,1284
37,395000,3216 W MESCAL ST,85029,Closed,KNOELL NORTH UNIT 2,1968,3,2,1430
38,377000,5144 W Monte Vista RD,85035,Closed,WEDGEWOOD PARK 9,1972,4,2,1555
39,364995,2706 E Mobile LN,85040,Closed,BEN-JO ESTATES LOTS 137-158,1948,4,2,1452
40,427000,6528 W FILLMORE ST,85043,Closed,SUNBURST FARMS SOUTH,1976,3,1,1192
41,410000,7522 N 30TH AVE,85051,Closed,BUNGALOWS AT ORANGEWOOD AMD,2014,3,3.5,1758
42,360000,6224 W BERKELEY RD,85035,Closed,MARYVALE TERRACE NO. 45,1972,3,2,1289
43,470000,2232 W SAN MIGUEL AVE,85015,Closed,BETHANY VILLA 1,1954,3,2,1500
44,361000,809 S 6th AVE,85003,Closed,"MONTGOMERY ADD AMD BLKS 75,83,84,91,99-102",2022,3,2,976
45,470000,4727 W LYDIA LN,85339,Closed,ROGERS RANCH PARCEL 15,2017,4,3,1853
46,360000,4217 W VISTA AVE,85051,Closed,"LORI HEIGHTS LOTS 204-223, 294-327",1963,3,2,1188
47,472000,10417 N 64TH AVE,85302,Closed,CHAPARRAL RANCH LT 100-248,1985,3,2,1799
48,400000,5123 W SELDON LN,85302,Closed,ROYAL OAKS UNIT 9,1983,3,1.75,1234
49,380000,5228 W WARNER ST,85043,Closed,RIVERBEND 1 UNIT A,2006,3,2.5,1452
50,670000,811 E PORT AU PRINCE LN,85022,Closed,HIDDEN HILLS,1977,4,2,1980
51,542000,3908 W COLUMBINE DR,85029,Closed,CACTUS PARK 2,1996,3,2,2272
52,367000,5802 W Virginia AVE,85035,Closed,HOMESTEAD TERRACE,1970,4,2,1540
53,425000,2509 W FAWN DR,85041,Closed,SILVA MOUNTAIN UNIT 1,2007,3,2,1515
54,335000,1748 E MONTE VISTA RD,85006,Closed,RONALDS PARK,1935,3,1.75,1260
55,383000,2335 W Shaw Butte DR,85029,Closed,VALLEY VISTA UNIT 4A,1968,4,2,1469
56,875000,7251 E MANZANITA DR,85258,Closed,SANTO TOMAS SCOTTSDALE 1,1978,3,2,1991
57,500000,1318 S SHAFER DR,85281,Closed,STARLITE MANOR,1977,4,2,1952
58,590000,903 E BASELINE RD,85042,Closed,KNOX RANCH SUBDIVISION,1989,3,2,2010
59,375000,4838 W SOLANO DR N,85301,Closed,BETHANY HEIGHTS 4,1975,4,2,1960
60,875000,2210 E SHEA BLVD,85028,Closed,DESERT VISTA UNIT 5 AMD,1977,4,2,2600
61,277000,8201 W EARLL DR,85033,Closed,MARYVALE TERRACE 30 TR A,1969,3,1,960
62,400000,12841 N 40TH AVE,85029,Closed,TAMARRON 2,1979,3,2,1554
63,546900,114 E Calavar RD,85022,Closed,Hillcrest Two / Hillcrest 2,1973,3,2,2342
64,300000,4426 W SUNNYSLOPE LN,85302,Closed,SKYVIEW NORTH,1971,2,1,896
65,375000,2921 N 53RD AVE,85031,Closed,MARYVALE TERRACE 19 LTS 6441-6445 & TR A,1958,4,2,1680
66,260000,5432 W MYRTLE AVE,85301,Closed,COOK & WHITE ADD AMD,1947,3,1,1300
67,198000,5522 W MYRTLE AVE,85301,Closed,"CATLIN COURT BLK 13-15, 18-20",1915,3,1,855
68,243500,4237 W LATHAM ST,85009,Closed,WINONA PARK 2 LOTS 75-78,1960,3,1,975
69,415000,2318 W CLAREMONT ST,85015,Closed,CAVALIER FREEWAY,1956,4,2,1296
70,550000,3058 E CAPTAIN DREYFUS AVE,85032,Closed,SWEETWATER COVE,1999,3,2,1554
71,344000,3223 W ACAPULCO LN,85053,Closed,"COUNTRY GABLES 2 LOT 256-281, 294-325, & TR D",1970,3,1.75,1562
72,560000,7537 N 17TH DR,85021,Closed,NORTHERN STAR UNIT 2,1954,4,1.75,1830
73,400000,6022 W PUEBLO AVE,85043,Closed,RIO DEL REY UNIT 2,2003,3,2,1442
74,365000,6419 W Desert Cove AVE,85304,Closed,Westbury Manor,1983,3,2,1292
75,330000,6751 W ORANGE DR,85303,Closed,WEST CAMELBACK VILLAGE,1973,2,1,816
76,721000,631 N 74th PL,85257,Closed,"NEW PAPAGO PARKWAY 11 LOTS 588-607, 614-628&TR C",1960,4,3,1508
77,485000,6958 W BROWN ST,85345,Closed,BRAEMAR UNIT 7,1986,3,2,1742
78,550000,2429 E BEVERLY RD,85042,Closed,MOUNTAIN TRAILS EAST,2018,3,2,1902
79,370000,5417 W CYPRESS ST,85035,Closed,WEDGEWOOD PARK,1973,3,2,1308
80,865000,3402 E INDIANOLA AVE,85018,Closed,WILSHIRE TERRACE,1958,4,3,2031
81,457000,9226 N 48TH DR,85302,Closed,SANDS WEST UNIT FIVE,1974,4,2,2012
82,775000,438 W HARMONT DR,85021,Closed,DIANA ESTATES PLAT 3,1956,3,2,2359
83,455000,2240 W BERRIDGE LN,85015,Closed,MELROSE VALLEY ESTATES 1,1958,4,2,1843
84,405000,6218 W WOOD ST,85043,Closed,RIO DEL REY UNIT 1,2001,4,2,1610
85,435000,5708 W FRIER DR,85301,Closed,SANDS ESTATES 5,1972,3,2,2374
86,389000,6541 W RIVA RD,85043,Closed,ESTRELLA MANOR,2002,3,2,1258
87,432000,2405 W ELLIS ST,85041,Closed,COPPER CREEK,2002,3,2,1763
88,375000,3850 N 12TH AVE,85013,Closed,WOODLAWN PARK,1947,2,1,1000
89,450000,505 W DESERT LN,85041,Closed,HIGHLINE ESTATES,2015,3,2,1618
90,430000,3823 N 84TH LN,85037,Closed,ARIZONA HOMES NO. 2,1971,4,2,1687
91,450000,6638 S 18TH LN,85041,Closed,VINEYARD PARK,2003,3,2,1741
92,390000,3828 W LAWRENCE RD,85019,Closed,FLEETWOOD UNIT 3,1958,3,3,1588
93,485000,5317 W SELDON LN,85302,Closed,ROYAL OAKS UNIT 9,1980,3,1.75,1725
94,555000,5612 S 58TH LN,85339,Closed,RIVERWALK VILLAGES PHASE 3 REPLAT,2015,4,2.5,2462
95,800000,5617 S MONTEZUMA ST,85041,Closed,None,1950,4,2,1653
96,520000,8307 S 23RD DR,85041,Closed,SILVA MOUNTAIN UNIT 1,2010,4,2.5,2326
97,795000,11423 N 12TH PL,85020,Closed,LEGEND AT POINTE TAPATIO CLIFFS,2002,3,2.5,2557
98,368199,2024 E HUBBELL ST,85006,Closed,JACKSON VILLA LOTS 1-27,1950,3,1.75,1364
99,554900,6828 S 12TH PL,85042,Closed,CORTONA,2021,4,3,1946
100,300000,3919 W TUCKEY LN,85019,Closed,WEST PLAZA 12 LOT 2042-2211,1960,2,1.75,1161
101,899000,8236 E GLENROSA AVE,85251,Closed,SCOTTSDALE ESTATES 9 LOTS 1184-1350,1959,3,2,1550
102,585000,7315 N 82ND DR,85303,Closed,WEST GLENN ESTATES,2002,5,3,2629
103,335000,1324 W SUNLAND AVE,85041,Closed,HIGHLAND PARK SUB PLAT 1,1955,3,1,863
104,651000,1336 E Georgia AVE,85014,Closed,SHERWOOD VILLAGE LOTS,1955,3,2,1677
105,565000,3147 W KINGS AVE W,85053,Closed,RANCHO ENCANTO UNIT 2,1978,4,2,2073
106,490000,4321 W RUTH AVE,85302,Closed,MANZANITA MANOR 2,1980,3,2,1806
107,495000,2249 E PECAN RD,85040,Closed,COPPER LEAF DEVELOPMENT UNIT 2,2007,3,2.5,1951
108,552000,7212 S 30th ST,85042,Closed,ENCANTO AT THE LEGACY,2000,3,2,1703
109,585000,2443 W CROCUS DR,85023,Closed,THUNDERBIRD VALLEY UNIT 2,1979,3,2,1912
110,690000,5743 N 11th PL,85014,Closed,MCADAMS MANOR 3,1993,3,2,1998
111,692000,2446 E MINNEZONA AVE,85016,Closed,CAVALIER CAMPUS,1954,3,2,1650
112,360000,3334 W Culver ST,85009,Closed,WESTCROFT PLACE PLAT 2,1946,3,2,1250
113,675000,2628 N 31st ST,85008,Closed,Matthews Tract,2021,4,3.5,2774
114,518000,5141 W BOWKER ST,85339,Closed,RIVER WALK VILLAGES PHASE 1,2002,3,2,2072
115,751111,14226 N 14TH ST,85022,Closed,LEGACY AT THE POINTE LOT 1-67 TR A-N,1994,5,3.5,4272
116,541600,7916 W ROSE LN,85303,Closed,SHADOW VIEW RANCH LOT 1-46 TR A-C,1995,4,2,2150
117,290000,1206 E ADAMS ST,85034,Closed,EASTLAKE PARK UNIT ONE LOT 13-16 TR A,1926,2,1,832
118,470000,920 W MERCER LN,85029,Closed,SADDLE ROCK HILLS,1954,6,3,2079
119,310000,2830 W SOLANO DR N,85017,Closed,CAVALIER PARKWAY,1950,2,1,977
120,400000,3451 E Thunderbird RD,85032,Closed,PARADISE VALLEY OASIS,1970,3,1.75,1900
121,257000,1007 S 4TH AVE,85003,Closed,MONTGOMERY,1916,2,1,850
122,436000,13233 N 55TH DR,85304,Closed,THUNDERBIRD PALMS UNIT 4 AMD,1983,3,2,1169
123,364000,4628 N 79TH AVE,85033,Closed,PONDEROSA HOMES WEST UNIT TWO,1978,2,1.5,1031
124,386000,4318 N 85TH AVE,85037,Closed,SUNRISE TERRACE UNIT 3,1971,3,2,1422
125,740000,8225 E CHAPARRAL RD,85250,Closed,SCOTTSDALE COUNTRY ACRES 2,1961,3,3,2054
126,460000,16036 N 11TH AVE 1071,85023,Closed,VILLAS AT MOON VALLEY CONDOMINIUM,2003,4,2,1619
127,460000,7754 W MYRTLE AVE,85303,Closed,ORANGEWOOD ESTATES,2003,4,2,2045
128,485000,9055 N 41ST AVE,85051,Closed,NEWCASTLE VILLAGE 1,1967,3,2,1759
129,320000,3129 W MONTE VISTA RD,85009,Closed,NORTHWEST HOMESITES 2 BLKS 20-26,1945,3,1,1113
130,550000,3227 E Presidio RD,85032,Closed,Paradise Valley Oasis 2,1962,3,2,1374
131,426900,5652 W Cochise DR,85302,Closed,BRAEMAR ESTATES NO. 4,1975,3,2,1440
132,408000,4012 W PALO VERDE DR,85019,Closed,WEST PLAZA 19,1968,3,2,1723
133,400000,15835 N 23RD PL,85022,Closed,MOUNTAIN VISTA UNIT ONE,1981,2,1,1196
134,407000,6035 W FAIRMOUNT AVE,85033,Closed,MARYVALE TERRACE 4 AMD,1958,3,2,1525
135,399900,3108 W CHARTER OAK RD,85029,Closed,"WESTOWN 4 LOT 373-502, TRS A & B",1960,3,2,1350
136,506000,7311 S 15TH LN,85041,Closed,ESTATES AT BASELINE,2004,4,2.5,2149
137,383000,840 N 61ST DR,85043,Closed,CENTURA WEST 2,1981,3,2,1564
138,735000,6842 S 27TH PL,85042,Closed,FAIRWAYS AT THE LEGACY UNIT 2 REPLAT,2001,3,2,2144
139,890000,319 E FOREST HILLS DR,85022,Closed,MOON VALLEY 2,1975,4,2.5,2523
140,576000,3823 E KINGS AVE,85032,Closed,VISTAS 2,1996,3,2,1713
141,831000,15443 N 13TH AVE,85023,Closed,MOONLIGHT COVE TWO LOT 133-281 TR A-I,1994,5,2.5,3018
142,332900,3825 W ORANGEWOOD AVE,85051,Closed,SUNGOLD 3,1962,3,2,1066
143,420000,1706 E GRANADA RD,85006,Closed,MCDOWELL MANORS,1950,2,1,1116
144,489000,11214 N 36TH DR,85029,Closed,MELROSE GARDENS NW UNIT T,1969,4,2,2093
145,389000,4541 W PARK ST,85339,Closed,ROGERS RANCH UNIT 4,2007,3,2,1214
146,730000,744 W BEVERLY LN,85023,Closed,MOONLIGHT COVE 3,1995,3,3,2384
147,605000,5611 W BLOOMFIELD RD,85304,Closed,MISSION GROVES 2 AT MARSHALL RANCH LT 1-76 TR A B,1992,5,2.5,3024
148,950000,8542 N FARVIEW DR,85258,Closed,EASTWOOD AMD,1979,3,2.5,2581
149,240000,3536 W PIERCE ST,85009,Closed,WEST PHOENIX NO 2,1950,3,2,1138
150,371000,4607 W MISSION LN,85302,Closed,SKYVIEW NORTH 1,1971,3,2,1119
151,340000,5541 N 61ST LN,85301,Closed,MARYVALE TERRACE 20-A LTS 7490-7494,1959,3,1.5,1157
152,720000,2117 W WINDSOR AVE,85009,Closed,GREENWAY TERRACE 2,1954,3,2,1722
153,805000,835 E HEARN RD,85022,Closed,None,1988,3,2.75,2500
154,600000,7315 E Taylor ST,85257,Closed,New Papago Pkwy,1961,3,2,1148
155,625000,7826 S 37TH WAY,85042,Closed,BLOSSOM HILLS,2018,4,3,2257
156,394000,426 N 14TH ST,85006,Closed,STEWART TRACT,1946,2,2,1221
157,789000,2408 E COCHISE RD,85028,Closed,GREENRIDGE 4,1972,4,2,2066
158,437300,4939 W LYNNE LN,85339,Closed,RANCHO VERDE ESTATES,2005,4,2,1527
159,364200,2006 N 77TH GLN,85035,Closed,VINSANTO,2008,3,2.5,1399
160,377000,8223 W CAMPBELL AVE,85033,Closed,WILLOWS WEST,1974,3,2,1680
161,520000,7313 S 12TH DR,85041,Closed,BASELINE MOUNTAIN RANCH,2017,4,3,2801
162,801000,8114 E PICCADILLY RD,85251,Closed,SCOTTSDALE ESTATES 5,1958,4,2,2049
163,385000,4129 W CARON ST,85051,Closed,NEWCASTLE VILLAGE 1,1968,3,1.75,1585
164,353000,4013 W WAGON WHEEL DR,85051,Closed,LORI HEIGHTS AMD,1968,3,1.75,1420
165,470000,5011 N 77TH DR,85303,Closed,MEADOWS 2,1972,4,3,2183
166,420000,3631 W ROYAL PALM RD,85051,Closed,NORTHERN VILLAGE UNIT 4,1969,3,2,1500
167,400000,4841 W Townley AVE,85302,Closed,NEW WORLD GLENDALE UNIT 1 AMD,1973,4,2,1689
168,452000,3837 W COLUMBINE DR,85029,Closed,SWEETWATER SUBDIVISION UNIT 3,1971,5,2,1632
169,350000,7527 W INDIANOLA AVE,85033,Closed,MARYVALE TERRACE 28 LOTS 11349-11374 & TR B,1961,5,2,1882
170,410000,1446 E EDGEMONT AVE,85006,Closed,LAUREL HEIGHTS,1936,2,1,768
171,750000,4617 E EMILE ZOLA AVE,85032,Closed,ROADRUNNER ESTATES EAST 3,1978,4,2,2049
172,935000,6521 N 3RD ST,85012,Closed,NORTH CENTRAL GROVES 3,1954,3,2,2572
173,320000,3648 W MORELAND ST,85009,Closed,WEST PHOENIX NO 4,1930,3,1,829
174,549000,225 E Pierce ST,85281,Closed,PAPAGO PARKWAY,1959,3,2,1851
175,850000,1108 E NORTHVIEW AVE,85020,Closed,NORTHWOOD HOMES 2,1954,3,1.75,1575
176,305000,2750 W Turney AVE,85017,Closed,Mission Manor,1964,3,2,1572
177,770000,1513 E Oregon AVE,85014,Closed,Sarko Sub,1958,3,2,1998
178,590000,2915 N EVERGREEN ST,85014,Closed,COUNTRY CLUB TERRACE LOT 52-59,1954,3,2,1486
179,362000,634 N 48TH ST,85008,Closed,DELANO ESTATES LOTS 157-169,1956,5,1.75,1715
180,900000,3519 E CHOLLA ST,85028,Closed,DESERT PARADISE,1970,4,2,2496
181,745000,4440 E NISBET RD,85032,Closed,COVEY UNIT,1987,3,2,2206
182,540000,4306 N 10TH ST,85014,Closed,DEVONSHIRE MANOR,1950,3,2,1524
183,680000,6843 E BELLEVIEW ST,85257,Closed,PAPAGO PARKWAY 4,1959,3,2.5,1888
184,720000,4237 N 35TH PL,85018,Closed,PALMS PARKWAY 2,1953,4,2,1643
185,396000,2917 W MARLETTE AVE,85017,Closed,WEST PLAZA 7,1958,3,3.75,2159
186,1200000,12219 N 59TH ST,85254,Closed,AVANT 1,1974,3,2.5,2574
187,625000,725 W AIRE LIBRE AVE,85023,Closed,MOONLIGHT COVE 4,1995,4,2,2401
188,460000,3633 E HARVARD ST,85008,Closed,NORTH EAST VILLAGE 1,1954,3,2,1446
189,320000,7609 W HAZELWOOD ST,85033,Closed,MARLBOROUGH COUNTRY UNIT 10,1983,2,1,923
190,410000,10829 N 45TH AVE,85304,Closed,KNOELL NORTH 8,1972,3,2,1696
191,425000,2244 E Everett DR,85022,Closed,SUGARLOAF FOOTHILLS 2,1970,4,1.75,1641
192,420000,3424 W HIDALGO AVE,85041,Closed,PARK MEADOWS UNIT 1,2005,3,2,1600
193,840000,401 E OREGON AVE,85012,Closed,"CUESTA VISTA LOT 8-25, 45-52",1945,3,2.5,2313
194,470000,809 E MONTE CRISTO AVE,85022,Closed,SUGGS MOON MOUNTAIN ESTATES,1979,3,2,1329
195,406000,1308 E ALICE AVE,85020,Closed,NORTHERN-AIRE ESTATES 1,1961,3,2,1248
196,760000,8513 E Bonnie Rose AVE,85250,Closed,Park Scottsdale 1,1962,4,2,1808
197,410000,4715 W Poinsettia DR,85304,Closed,Continental North Unit Eight,1973,3,2,1698
198,758500,8744 N 6th DR,85021,Closed,MARTHA ANN ESTATES,1958,3,2,1611
199,862500,1644 E RANCHO DR,85016,Closed,MADISON VILLAGE,1962,3,2,1686
200,396900,2207 W MEADOW DR,85023,Closed,VILLAGE MEADOWS 6 LOTS 204-246,1960,3,2,1819
201,449000,3618 E SHERIDAN ST,85008,Closed,NORTH EAST VILLAGE 1,1954,3,2,1119
202,410000,7737 N 40TH DR,85051,Closed,NORTHERN PALMS UNIT 2,1970,4,2,2090
203,450000,2225 W WHITTON AVE,85015,Closed,WESTWOOD ESTATES PLAT 2,1950,3,2,1520
204,676000,2807 E Cortez ST,85028,Closed,Melrose Paradise Unit 4,1969,3,2,1660
205,440000,15832 N 24TH AVE,85023,Closed,PONDEROSA HOMES NORTH 4,1977,3,2,1440
206,580000,8223 E VIRGINIA AVE,85257,Closed,VILLAGE GROVE,1959,3,2,1712
207,1105000,242 W Royal Palm RD,85021,Closed,SUB OF SW4 SEC 32,1987,4,3,3457
208,363000,1548 W ATLANTA AVE,85041,Closed,"HOME OWNER'S ESTATES 50-63, 78-84",1951,3,2,1259
209,755000,5724 N 14TH ST,85014,Closed,MCADAMS MANOR,1952,3,2,1625
210,345000,3102 W SIERRA VISTA DR,85017,Closed,Coral Gables,1963,3,2,1392
211,425500,1813 W COOLIDGE ST,85015,Closed,WESTOWN AMENDED,1955,3,2,1477
212,556875,2812 N 43RD ST,85008,Closed,EDGEMONT ESTATES,1979,2,2,1544
213,448000,2229 W MEADOW DR,85023,Closed,VILLAGE MEADOWS 6 LOTS 204-246,1960,3,2,2371
214,450000,6808 N 13TH ST,85014,Closed,ORANGO PLACE,1949,3,1,1129
215,350000,3317 W SOLANO DR N,85017,Closed,"MARYVALE PARK 3 LOTS 661-831, TR C",1953,4,1,1521
216,395000,1757 E WIER AVE,85040,Closed,PARK SOUTH 6,1961,3,2,1681
217,580000,1812 E Amelia AVE,85016,Closed,RL Hicks Add,1950,3,2,1600
218,510000,6233 W WETHERSFIELD RD,85304,Closed,WESTERRA,1980,4,2,1992
219,305000,3808 W MEADOWBROOK AVE,85019,Closed,PARK WEST UNIT 3,1959,3,1.75,1298
220,425000,6402 N 45TH DR,85301,Closed,WEST PLAZA 16,1964,4,2.5,2654
221,401000,3020 W SAN JUAN AVE,85017,Closed,"MARYVALE PARK 2 AMD LOTS 243-415, & TR C",1952,4,2.5,1580
222,875000,5039 E CORRINE DR,85254,Closed,CACTUS GLEN 2,1978,4,2,2244
223,602000,2110 E SHARON DR,85022,Closed,CAVE CREEK UNIT 2,1993,4,2,1972
224,515000,5664 W LOMA LN,85302,Closed,PARADISE VISTAS 2,2005,4,2.5,2961
225,304000,3646 W MARICOPA ST,85009,Closed,WESTWARD HOMES 2,1965,4,2,1500
226,470000,1016 W CAMPBELL AVE,85013,Closed,"PARK VIEW HOMES PLAT 2 LOTS 53-87, 274-281",1951,3,2,1261
227,285000,6622 S MONTEZUMA ST,85041,Closed,SOUTHLAND UNIT 3,1949,4,2,1288
228,330000,6934 W GEORGIA AVE,85303,Closed,HALLCRAFT WEST SIDE ESTATES 2,1978,3,2,1513
229,752000,7501 E HOLLY ST,85257,Closed,SCOTTSDALE ESTATES 3 LOTS 222-339,1957,3,2,1498
230,300000,5222 W EDGEMONT AVE,85035,Closed,HOMESTEAD TERRACE 1,1978,2,1,1427
231,770000,7502 E LATHAM ST,85257,Closed,NEW PAPAGO PARKWAY 8,1959,3,2,1550
232,470000,15234 N 28TH PL,85032,Closed,SOMBRA DE MONTOYA,2000,3,2,1449
233,430000,4609 E ALMERIA RD,85008,Closed,RANCHO MIO,1953,3,2,1312
234,610000,6149 N 23RD AVE,85015,Closed,MELROSE VALLEY ESTATES 1,1958,6,2,2352
235,412500,6408 S 46TH PL,85042,Closed,WOODBRIAR UNIT 2,1972,4,2,1632
236,458000,3825 W BERYL AVE,85051,Closed,Melrose Gardens,1972,3,2,1724
237,453650,5019 W Glass LN,85339,Closed,Rogers Ranch,2005,5,3,2634
238,655000,3440 E LARKSPUR DR,85032,Closed,MELROSE PARK PARADISE,1974,3,2,1878
239,530000,1340 E INDIANOLA AVE,85014,Closed,Longview acres,1949,4,2,1726
240,555000,2501 E Blanche DR,85032,Closed,Paradise Plaza Sub 2,1965,3,2,1300
241,400000,536 W TURNEY AVE,85013,Closed,YAPLE PARK,1948,2,1,850
242,465000,13123 N 21ST AVE,85029,Closed,MOON VALLEY GARDENS LOTS 377-392 & TR A,1962,4,2,1915
243,699000,921 W CULVER ST,85007,Closed,STORY ADDITION PLAT B,1925,4,3,2030
